country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,4.98,11.5,8.69,7.77,6.13,5.82,4.56,5.27,5.54,6.29,6.03,5.82,6.58,7.27,9.02,7.31,7.44,6.02,5.61,6.62,5.85,5.05,4.38,3.66,3.87,3.4,3,3.03,2.38,2.71,2.45
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,49.6,35.4,,11.7,2.36,1.55,1.59,2.64,1.97,2.04,1.78,2.03,1.59,2.37,3.59,3.17,4.86,4.87,4.31,4.69,5.6,4.87,4.52,4.28,4.51,4.5,3.28,2.92,2.09,2.85,2.79,3,2.68,4.17,4.2,4.42,4.26,4.76,5.03,4.86,4.96,4.91
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36,,,,10,,,,5.28,,,,,5.6,4.7,,,,3.41,,,,5.7,5.69,5.29,7.51,5.65,5.53,4.29,3.48,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,
Japan,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,1,0.5,0.5,1.4,0.9,1.3,1.3,1.2,1.2,1.6,1.5,1.8,2.1,2,2,2.2,2.2,1.8,1.4,1.6,1.3,1.6,1.9,2.1,2.6,2.5,2.9,3.3,3.53,3.65,3.75,3.82,3.08,2.83,2.92,2.44,2.62,3.47,3.4,3.14,3.03,2.8,2.5,2.3,2.3,2.2,2,1.9,2.1
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,5.36,6.74,,,,8.69,7.49,6.81,5.88,5.29,4.58,,,,5.13,,,5.97
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,,,,,,,1.55,,,,,,,,,,,,,0.94,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,3.29,3.68,4.8,,,3.44,3.62,4.11,3.38,6.83,3.65,3.07,2.42,2.72,2.27,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,0.66,,,,,0.35,,0.79,1.38,,,,0.9,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,1.16,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.31,0.28,0.29,0.31,0.28,0.27,0.25,0.24,0.28,0.25,0.13,0.25,0.25,0.23,0.44,0.32,0.41,2,2.15,1.34,0.94,0.83,1.18,1.36,1.43,1.12,1.27,0.91,1.4,1.8,1.34,1.35,1.05,1.6,2.1,2,1.96,2.19,2.08,2.69
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,,11,9.12,6.52,6.17,3.43,2.67,6.05
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,0.76,4.71,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,1.35,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,6.38,,,,,,,,,,,,6.13,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,16.6,,,,,,,,,,,,,10.6,12.2,12.2,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,0.75,0.99,,0.46,0.8,0.73,0.88,0.97,0.58,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,32.4,,,,,,,,,,,7.6,
